,Fx_real,Fx_predict
0,27.775755232368805,29.130126953125
1,38.5459636658907,37.13707733154297
2,29.431291670669548,24.165163040161133
3,26.5594335917178,27.62105369567871
4,29.498509085629575,24.9410457611084
5,17.609569269530372,18.617321014404297
6,26.716043266220645,27.148073196411133
7,31.53890889588583,30.504379272460938
8,23.306901131132346,22.44736671447754
9,24.415891808437397,24.170612335205078
10,29.476033261735484,27.238079071044922
11,24.864305197151918,22.80013656616211
12,25.152191657791075,27.666118621826172
13,27.519001332739037,29.21536636352539
14,29.339284824745434,26.32869529724121
15,24.918878473917044,24.140947341918945
16,27.518296198551067,30.134620666503906
17,28.13569602165733,28.08995819091797
18,31.416685184662718,32.332435607910156
19,19.83869810341557,21.80925750732422
20,27.901962972419568,27.603744506835938
21,24.90657072023692,26.269472122192383
22,12.505856914205314,15.748652458190918
23,37.30222146283759,35.91618728637695
24,38.48032176634322,35.84589767456055
25,27.27904363783017,26.1552677154541
26,26.472938388108297,28.15665626525879
27,21.770673713747982,21.46166229248047
28,32.77190353746341,34.537349700927734
29,32.472133416971545,31.80588150024414
30,34.971185724611,32.12766647338867
31,21.19712904463199,22.17324447631836
32,38.734297270568796,35.82266616821289
33,26.218066915017467,25.518293380737305
34,32.2777661290974,29.627647399902344
35,34.66323219548472,32.954383850097656
36,35.16455103868296,33.79193115234375
37,28.34647795947968,26.963647842407227
38,28.143973915306038,29.791091918945312
39,35.1418866221307,33.1849479675293
40,25.678550550340123,27.534351348876953
41,23.749945238775684,23.342491149902344
42,21.06425765746565,22.98611068725586
43,25.467742139754066,27.445100784301758
44,25.077456408372417,23.518266677856445
45,25.206731538713,25.840030670166016
46,29.18271915613999,26.874649047851562
47,29.506412028568555,30.53670883178711
48,24.711137819230128,22.15830421447754
49,30.360704371717265,28.58683967590332
50,30.21938920416181,31.05069923400879
51,30.760790661768386,30.09939193725586
52,27.577809414393386,27.324840545654297
53,35.29272617142779,33.99752426147461
54,20.773654518245813,22.215051651000977
55,34.15786516598557,34.78887939453125
56,22.404914750921645,24.2143611907959
57,23.566464226549474,24.353322982788086
58,25.814210898219084,24.97780990600586
59,34.61095510030835,36.31945037841797
60,29.812246273540172,27.222864151000977
61,29.095157007870128,27.084924697875977
62,25.822885359094283,27.210243225097656
63,29.966638836582895,29.832927703857422
64,23.43694225839065,23.414640426635742
65,31.011008030817806,31.830366134643555
66,22.716959070122723,23.834091186523438
67,26.59876414500347,29.201383590698242
68,21.737113203827104,21.87462043762207
69,27.41615814859892,27.54649543762207
70,30.176495531104894,27.654462814331055
71,26.714067149732447,24.98189353942871
72,34.878353025880806,32.37540054321289
73,22.058575538628062,21.92485809326172
74,31.314712419945778,30.5065975189209
75,20.591343406489614,21.407859802246094
76,34.47082290681631,31.86968231201172
77,23.244107489904348,23.792341232299805
78,16.656825294157805,20.610393524169922
79,24.646443334396,25.340526580810547
80,21.409939848362146,24.662660598754883
81,36.49957266338882,36.013946533203125
82,20.46405237138021,21.13263702392578
83,20.178285637218853,20.048606872558594
84,32.75339304816778,34.90462875366211
85,38.89357005524362,32.96088790893555
86,18.20700461617095,20.401355743408203
87,22.22418337754386,24.310577392578125
88,27.731960338328793,23.851337432861328
89,26.849486371276015,27.41855812072754
90,27.998927698401264,26.84531593322754
91,28.619880843014634,28.622133255004883
92,37.44347531346275,35.20008087158203
93,29.71084497948094,31.11748504638672
94,24.51684593637265,22.108078002929688
95,24.993590975930722,23.00511932373047
96,23.152023760048365,23.993154525756836
97,24.517900890662464,22.421493530273438
98,27.09827489912198,26.195697784423828
99,32.160328297085265,30.223905563354492
100,27.694265398833437,24.733566284179688
101,34.588770054926414,31.340579986572266
102,24.58742456796507,26.255023956298828
103,22.99491562417234,26.03959846496582
104,28.092842340365912,29.445770263671875
105,23.27856035766116,22.299625396728516
106,23.554147249157644,22.59229278564453
107,26.977440066488402,27.661977767944336
108,28.521528146413914,24.626325607299805
109,29.2097342759783,27.073392868041992
110,32.72536378991339,27.914278030395508
111,34.774791391189446,33.5645866394043
112,22.685993054014123,22.917638778686523
113,26.998517755496852,26.721935272216797
114,20.900542293897335,24.090715408325195
115,38.9373236678108,32.86603546142578
116,22.69171222610238,20.639636993408203
117,27.501595411008264,24.458581924438477
118,26.12279019627986,27.78885841369629
119,28.159263168603832,26.44677734375
120,24.609588157249476,26.795480728149414
121,26.15287468913877,25.89882469177246
122,37.13702070240569,33.52437973022461
123,29.96452930638053,30.01932144165039
124,14.80137333050571,17.30550193786621
125,28.81999543419627,29.10776138305664
126,36.34641272428375,38.529541015625
127,24.028318388658363,20.870899200439453
128,20.47388280516496,22.712596893310547
129,26.771068589726795,26.280364990234375
130,26.970143265554235,26.55979347229004
131,30.019904945558594,31.86673355102539
132,28.689650103015182,28.31667709350586
133,26.341165049431513,28.583223342895508
134,22.685813328293083,22.380325317382812
135,31.78499650958045,30.185348510742188
136,21.57222164352954,20.269296646118164
137,27.18370698049031,27.430795669555664
138,26.765029752873737,25.020986557006836
139,30.128850919006386,28.73102378845215
140,25.170016300339636,25.139427185058594
141,21.1806965546251,23.926462173461914
142,16.31881987979408,20.12873649597168
143,27.261568239580807,28.19923973083496
144,22.39077171275501,22.215120315551758
145,29.081430857683085,30.308624267578125
146,34.62092209422035,29.688085556030273
147,36.839486785559224,38.33285903930664
148,30.063328383824892,29.25588035583496
149,27.485116700105596,25.90885353088379
150,42.98075493100362,37.72621154785156
151,34.72339963456252,32.801448822021484
152,22.15569525400904,21.524248123168945
153,22.154452607161353,21.854116439819336
154,27.186099045020807,27.8016300201416
155,31.77015203539937,26.95574951171875
156,24.927876602523188,23.896764755249023
157,28.993958354264,30.94991111755371
158,31.881969796334516,31.56121826171875
159,24.12255777652946,26.584352493286133
160,23.965210769709667,24.172395706176758
161,21.218505556856268,20.299636840820312
162,12.801162955556402,14.607457160949707
163,28.926703090875968,28.20660972595215
164,21.83927163801261,22.53904914855957
165,23.475298046984722,23.757272720336914
166,28.172277008448216,24.899700164794922
167,22.31100318953207,24.69969367980957
168,24.35753314694407,22.25023078918457
169,27.35857816890283,29.23512840270996
170,28.26090135271385,27.990829467773438
171,24.027133029788704,25.60677146911621
172,33.521256540054665,32.67561340332031
173,34.705910191225655,29.06618309020996
174,29.30325359385466,26.27476692199707
175,30.67699247523458,30.135744094848633
176,28.916635513122248,25.458820343017578
177,17.97523182829247,23.30926513671875
178,21.193418652871415,21.562803268432617
179,25.95569856314321,27.338809967041016
180,30.135488450051326,28.795822143554688
181,19.358926030270673,20.514150619506836
182,34.21736662285083,29.386856079101562
183,35.34667427517608,33.52522277832031
184,31.301000319482284,28.585264205932617
185,34.031653210233905,32.11885070800781
186,36.121461229125785,33.43050765991211
187,24.401445877338997,22.895105361938477
188,33.23906219388409,33.23296356201172
189,30.565310462545213,33.21363067626953
190,26.88250874786957,25.793214797973633
191,20.90296002122102,23.170597076416016
192,26.771861016541617,25.336240768432617
193,33.02578229466282,31.59343910217285
194,19.8704237750776,18.98406982421875
195,24.64249493504327,25.55278205871582
196,31.89360239408851,31.21427345275879
197,23.86887610169474,24.29124641418457
198,15.20074603546675,18.18809700012207
199,31.322567814241584,31.173559188842773
200,32.267034687848785,30.354066848754883
201,29.362748368310427,28.305112838745117
202,24.91278901856525,27.878469467163086
203,31.797728587635003,32.429229736328125
204,19.72294196625702,19.449159622192383
205,30.303985808963663,27.40393829345703
206,33.62348459077214,35.753265380859375
207,26.08075749444841,23.10338020324707
208,23.42135751923908,23.18933868408203
209,23.598255126501574,24.304346084594727
210,31.318874257110146,26.963478088378906
211,20.236318447469348,20.943056106567383
212,22.68095223900243,24.03156089782715
213,19.303025904467816,20.066274642944336
214,31.997970822157217,31.294363021850586
215,25.48568884064234,25.619728088378906
216,24.679860897132922,23.857397079467773
217,31.39337787730698,30.394142150878906
218,26.304064046294396,25.078582763671875
219,31.77930161398406,27.196992874145508
220,22.31979702461804,24.578737258911133
221,28.771685717015526,25.792945861816406
222,25.928127748243657,27.770702362060547
223,25.104753485245993,24.64434814453125
224,26.343520492433466,24.024044036865234
225,28.48557547942522,27.93316650390625
226,27.860734330350205,26.054738998413086
227,25.87205937941741,29.38713836669922
228,31.002577845812084,29.9306640625
229,23.952559166945907,25.0014705657959
230,33.587820375329834,33.5062370300293
231,26.525234999898032,26.702966690063477
232,20.66281410565163,20.476491928100586
233,20.134967971809466,22.987045288085938
234,30.064089602816516,25.252866744995117
235,21.3955486525764,21.59950828552246
236,26.004987259008626,22.330318450927734
237,26.20273721721138,26.2896728515625
238,22.85209319946798,23.428171157836914
239,28.00981149145472,24.76875114440918
240,27.230565974645,26.68341636657715
241,28.89661057017037,28.841596603393555
242,23.575949839518266,24.83159828186035
243,30.115216451992865,25.632667541503906
244,16.653834392086303,20.2294864654541
245,23.29604827626532,23.387901306152344
246,24.053934286517656,24.809112548828125
247,24.219582752604364,24.284128189086914
248,25.266907337776555,23.12468147277832
249,19.671382561647068,23.43155860900879
250,24.664586621792875,26.026103973388672
251,22.337375783332206,22.612424850463867
252,41.94710833953947,36.20432662963867
253,22.417982477739265,22.90471076965332
254,23.74072394508442,23.607332229614258
255,24.733062239478794,24.54564094543457
256,33.555304492799884,32.149131774902344
257,21.373605407901895,24.43544578552246
258,23.37227483712896,23.936182022094727
259,19.37656133437783,18.347431182861328
260,26.71462446577882,25.275358200073242
261,27.986301285873818,24.440185546875
262,24.949324955783823,20.42231559753418
263,29.905144246499116,29.454513549804688
264,32.257083060218754,32.61398696899414
265,27.512464374939036,27.412574768066406
266,29.090193085515676,27.128658294677734
267,20.42826253254955,20.775531768798828
268,27.604304779547917,27.93219566345215
269,31.576510970234406,32.705078125
270,31.368314100095937,29.100982666015625
271,22.35967444840976,23.236125946044922
272,27.37941653548797,26.07520866394043
273,27.502902849880883,30.43388557434082
274,35.02868115626247,32.89937210083008
275,18.5413482076293,21.845378875732422
276,21.09942367462994,21.12837028503418
277,24.579037252242284,24.9841365814209
